Title	|	Description	|	URL
Aeon	|	Serious and creative thinkers	|	https://aeon.co/essays
Center Square	|	Statehouse opinion	|	https://www.thecentersquare.com/opinion/
City Journal	|	Bible of new urbanism	|	https://www.city-journal.org/
Compact Magazine	|	A new political center	|	https://compactmag.com/
CSM	|	Christian Science Monitor	|	https://www.csmonitor.com/Commentary
Daily Economy	|	American Inst for Econ Research	|	https://thedailyeconomy.org/
Discovery	|	Creativity and innovation	|	https://www.discovery.org/
FEE	|	Foundation for Economic Education	|	https://fee.org/commentary/
Free Press	|	Honesty, doggedness, independence	|	https://www.thefp.com
Hedgehog Review	|	Reflections on culture	|	https://hedgehogreview.com/
Independent Institute	|	Peaceful, prosperous, free	|	https://www.independent.org/
Independent Voter News	|	independent-minded	|	https://ivn.us/
JSTOR Daily	|	For the intellectually curious	|	https://daily.jstor.org/
MEDIAite	|	Intersection of media and politics	|	https://www.mediaite.com/category/opinion/
Merion West	|	Across the political spectrum	|	https://merionwest.com/
Mises Wire	|	Non-political, non-partisan	|	https://mises.org/wire
Newsweek	|	Fair, independent, transparent	|	https://www.newsweek.com/opinion
Palladium	|	Governance futurism	|	https://www.palladiummag.com/
Quillette	|	Long-form analysis	|	https://quillette.com/
Real Clear Politics	|	Spanning the spectrum	|	https://www.realclearpolitics.com/
Reason	|	Nation's leading libertarian magazine	|	https://reason.com/latest/
Roll Call	|	Congress, inside and out	|	https://rollcall.com/section/opinion/
Straight Arrow	|	Balanced for differing opinions	|	https://san.com/opinions/
The Conversation	|	Experts for the public good	|	https://theconversation.com/us/politics
Unherd	|	Challenge herd mentality	|	https://unherd.com/
Unz Review	|	Alternative media selection	|	https://www.unz.com/popular/
Persuasion	|	We seek to persuade	|	https://www.persuasion.community/
The Baffler	|	Blunts the cutting edge	|	https://thebaffler.com/
New Discourses	|	The light of objective truth	|	https://newdiscourses.com/category/articles/
LewRockwell	|	Anti-war, anti-state, pro-market	|	https://www.lewrockwell.com/
